PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM
J	Renshaw, Layla								The scientific and affective identification of Republican civilian victims from the Spanish Civil War								JOURNAL OF MATERIAL CULTURE				15	4			449	463		10.1177/1359183510382961			DEC 2010	2010	This article addresses the concurrent processes of the scientific and affective identification of human remains, resulting from the excavation of mass graves from the Spanish Civil War. Affective identification refers to the reconstruction of locally meaningful identities, recognition amongst the living of affective bonds with the dead, and the emotions of mourning elicited in this process. Drawing on fieldwork in two rural communities in the Burgos region of Spain, it follows the exhumation of mass graves containing the human remains of local Republican civilians, victims of extrajudicial killings during the Spanish Civil War. The long time lapse between these deaths and current exhumations place these events on the boundaries of living memory, creating challenges for the investigative process. Widespread experiences of political repression during Spain's dictatorship have resulted in a fractured transmission of memories of the dead, making the question of affective and familial bonds with the dead more complex for these communities.									4	0	0	1	0	4			1359-1835			WOS:000208349300005	
J	Harvey, David								Broad Down, Devon: archaeological and other stories								JOURNAL OF MATERIAL CULTURE				15	3			345	367		10.1177/1359183510373984			SEP 2010	2010	This article explores the knowledge construction process of an archaeological site in East Devon, UK. Bouncing off an oral historical account of the site that seems to run against scientific truth claims, the author investigates the story of how knowledge of the site has developed over the last two centuries. Building on previous work that explores the history and practice of archaeology, the article opens up questions of what counts as evidence. Then, taking a cue from more recent work that suggests a more dynamic and open-ended engagement with the landscape, the article turns to examine how the meaning of a site can be made and remade. As part of this endeavour, questions of what as well as who can 'speak' are examined and some space is opened up for the agency of 'minor figures', both human and non-human.									4	0	0	0	0	4			1359-1835			WOS:000281678800005	
J	Basu, Paul								Confronting the past? Negotiating a heritage of conflict in Sierra Leone								JOURNAL OF MATERIAL CULTURE				13	2			233	247		10.1177/1359183508090896			JUL 2008	2008	Cultural heritage is not a priority in Sierra Leone. As one of the poorest countries in the world and one only gradually recovering from civil war, there are more immediate concerns. Despite long-term neglect, this article considers whether there is, however, a role for Sierra Leone's cultural heritage in post-conflict recovery. It examines two arenas for the production of Sierra Leone's national past: its list of proclaimed national monuments notionally protected by a Monuments and Relics Commission, and the report of its Truth and Reconciliation Commission (TRC). Whilst the rhetoric of the TRC calls Sierra Leoneans to confront their past, history is rewritten in its report and a mythic past of 'peaceful co-existence' posited. To confront Sierra Leone's 'indigenous' cultural heritage is, however, to confront a long history of conflict. The article asks whether it is not better to acknowledge this difficult past rather than deny it.					2nd European Conference on African Studies2nd European Conference on African Studies	20072007	AEGIS, African Studies CtrAEGIS, African Studies Ctr	Leiden, NETHERLANDSLeiden, NETHERLANDS	4	0	0	0	0	4			1359-1835			WOS:000258031900007	
J	Stephens, John								Memory, commemoration and the meaning of a suburban war memorial								JOURNAL OF MATERIAL CULTURE				12	3			241	261		10.1177/1359183507081893			NOV 2007	2007	War memorials are a significant feature of the Australian landscape. Thousands were erected after the First World War in towns and suburbs across the nation as a community focus for memory, grief, and pride of their soldiers lost in the war. The Victoria Park memorial in Perth, Western Australia, originally constructed in 1917, before the war ended, and replaced in 1957, was a small suburban memorial that was born in the enthusiasm of Empire and the growing concept of Anzac. The biography of this memorial reveals a chequered and contested history typical of many local memorials in Western Australia. Concentrating on the Victoria Park memorial this article seeks to explore the relationships between its physical aspects and setting, its meaning to the community and the linkages between objects and memory.									4	0	0	0	0	4			1359-1835			WOS:000251394200002	
J	Horst, HA								A pilgrimage home - Tombs, burial and belonging in Jamaica								JOURNAL OF MATERIAL CULTURE				9	1			11	26		10.1177/1359183504041087			MAR 2004	2004	This article is concerned with the construction of ancestry in Jamaica. Based upon a comparison of burial tombs in inalienable, 'ancestral' family land as well as in churchyards and cemeteries, I explore how the painted, polished or embellished cement structures mediate the relationship between people and land, a primary locus of identity in the Caribbean. Examining the ways in which the tombs are decorated and augmented, I argue that the creation, design and redesign of the tomb and its facade are important for the declaration of personhood as well as the positioning of the individual within the family. However, ancestral status is ultimately realized through the neglect and disintegration of these surfaces, the exposed grey concrete materially reuniting the deceased with the land.					Meeting of the American-Anthropological--AssociationMeeting of the American-Anthropological--Association	NOV, 2002NOV, 2002	Amer Anthropol AssocAmer Anthropol Assoc	New Orleans, LANew Orleans, LA	4	0	0	0	0	4			1359-1835			WOS:000220460200002	
J	Chattopadhyay, S								'Goods, chattels and sundry items' - Constructing 19th-century Anglo-Indian domestic life								JOURNAL OF MATERIAL CULTURE				7	3			243	271					NOV 2002	2002	One of the most common assumptions regarding the culture of British colonialism in India is that the Victorian ideal of separate spheres for men and women found an exaggerated expression in the separation of the colonial bungalow and camp/court. As marginal figures who often disturbed the masculine image and occupation of running an empire, the appropriate role of British women was limited to gracing the household, creating a semblance of 'home'. This reading of British domestic life in India also assumes that the domestic ideology used in Britain to shape a distinction between public and private spheres was not only applicable in the colonial context, but was even more distinctly articulated. Through an examination of written documents describing Anglo-Indian life in Calcutta, housekeeping guides written by British women, house plans, and probate inventories of British residents of Calcutta, I argue that the model of domestic space was formulated on a fundamentally different premise, on an overlap of public and private spheres. And the possibilities of this overlap were utilized by British women to redefine the meaning of Anglo-Indian domestic material culture in late 19th-century India. A spatial inquiry into colonial domestic practices reveals the difficulties and disruptions that such redefinition entailed.									4	0		0	0	4			1359-1835			WOS:000179758900001	
J	Birenbaum-Carmeli, D; Carmeli, YS; Madjar, Y; Weissenberg, R								Hegemony and homogeneity - Donor choices of Israeli recipients of donor insemination								JOURNAL OF MATERIAL CULTURE				7	1			73	95		10.1177/1359183502007001306			MAR 2002	2002	This article explores the relevance of hegemony theory to choices of sperm donors made by Jewish Israeli recipients of donor insemination (DI). The context is the objectification of 'the Natural' through hegemonic images of mass consumption. The study, which was conducted in a major Israeli hospital, examined physiological features (height, eye colour, skin colour) of the most popular donors. In the highly familistic society of Israel, recipients' choices conformed to images of their own 'natural family'. Within the limits of the family's looks, choices revealed a convergence of specific type of physiognomy - that of the hegemonic Ashkenazi man. While recipients tended to reproduce their own appearance they often 'compromised' it towards the kind of looks constructed as desirable in the mass media. The choice of donors by DI recipients presents an extreme case in which people construct their own family by incorporating hegemonic ideals of mass consumption.									4	0		1	0	4			1359-1835			WOS:000174550500004	
J	Grove-White, A								No rules, only choices? Repositioning the self within the fashion system in relation to expertise and meaning: A case study of colour and image consultancy								JOURNAL OF MATERIAL CULTURE				6	2			193	211					JUL 2001	2001	This article presents a case study about the way women make decisions about colour and dress prior to, and after a visit to an image consultancy, Color Me Beautiful. It specifically asks to what extent women feel they have benefited from such a consultation in relation to the fashion system and the experience of consumption.The article is divided into two sections. The first section argues that the interviewees, prior to the consultation, had adopted a narrow and restricted mode of decision-making in relation to colour and clothes due to a variety of social and personal reasons. The second section explores the processes by which the majority of interviewees began to gain confidence and a renewed interest in selecting clothes after a colour consultation. Such a technology of the self enabled the respondents to question and 'play' with the fashion system, in such a way that they had not felt able to do before. In particular, the mechanisms of expertise and of meaning were central to this process of change.									4	0	0	0	0	4			1359-1835			WOS:000169836700004	
J	Strathern, A; Stewart, PJ								Dangerous woods and perilous pearl shells - The fabricated politics of a longhouse in Pangia, Papua New Guinea								JOURNAL OF MATERIAL CULTURE				5	1			69	89					MAR 2000	2000	This article approaches the analysis of ambivalence in exchange relations between groups in the Pangia area of the Southern Highlands Province in Papua New Guinea from an unusual angle: the structure and materials of a ceremonial longhouse constructed to house participants in a gift-giving occasion. The sponsor of the feast declared that it was to mark peace and alliance with neighbors, but one of the recipients noted that the types of wood used in the building themselves carried threatening and competitive messages encoded non-verbally. Gifts of pearl shells and pork were similarly interpreted as double-sided: both to repair friendships and to declare enmities. The recipients themselves risked, from their point of view, death in accepting these perilous gifts from a longhouse consisting of 'dangerous woods'. The case study illustrates the possible disjuncture of interpretations of material acts and structures by differently positioned persons in the social arena.									4	0	0	0	0	4			1359-1835			WOS:000085507100004	
J	Kingston, S								The essential attitude - Authenticity in primitive art, ethnographic performances and museums								JOURNAL OF MATERIAL CULTURE				4	3			338	351					NOV 1999	1999	Contrary to the received wisdom that 'authenticity' is a culturally specific phenomenon on the verge of disappearing, this article holds that it is a mode of interrogating the world available to all. It is argued that a cross-cultural and analytic notion of authenticity can be profitably fashioned once it is noted that its attribution applies to performances and representations which are important because they present something regarded as ontologically inaccessible. The social and political dynamics of authenticity's ontological operations are explored in a reading of recent literature on Primitive Art, ethnographic performances and museums.									4	0	0	0	0	4			1359-1835			WOS:000083798200006	
J	Russell, L; McNiven, IJ								Monumental colonialism - Megaliths and the appropriation of Australia's Aboriginal past								JOURNAL OF MATERIAL CULTURE				3	3			283	299		10.1177/135918359800300302			NOV 1998	1998	Colonizers often subjugate the colonized Other as an inferior form of humanity. In the Euro-Australian settler-colonial context such ethnocentric views legitimated the acquisition of indigenous lands. An important element of this process of dispossession was the appropriation of indigenous heritage and the (re)presentation of indigenous archaeological sites as dimensions of European prehistory. In America and Africa last century, interpretations of indigenous sites frequently invoked the prior occupation of an advanced race who had close affinity with the European colonizers. Nineteenth-century representations of stone circles in Australia reveal similar attempts to dissociate Aboriginal people from their past. The stone circles near Mt Elephant in Victoria provide an extreme example of this process wherein a fallacious depiction of indigenous sites as European megalithic structures ensured Aboriginal dispossession and subsequent European (re)possession. The Mt Elephant representations subsequently gave rise to hyper-diffusionist claims early this century that Aboriginal stone circles reflected cultural influences from Egypt. Within the Australian context the processes of dispossession and (re)possession were part of a more encompassing paradigm which held Aborigines to be the living Stone Age ancestors of modern Europeans.									4	0		0	0	4			1359-1835			WOS:000077074900002	
J	Born, G								Public museums, museum photography, and the limits of reflexivity - An essay on the exhibition - Camera obscured: Photographic documentation and the public museum								JOURNAL OF MATERIAL CULTURE				3	2			223	254		10.1177/135918359800300205			JUL 1998	1998	This essay gives an interpretation of the first exhibition ever held of photographs from the archives of the in-house photographic studios of major public museums. It argues that the photographic images sketch out a rich visual anthropology of public museums as social and cultural institutions; and that this can potentially contribute to an enhanced reflexivity and a cultural politics concerning the museums' own sociality and hierarchy, and their changing representational techniques. This is a reflexivity, however, which the museums seem officially to resist. Museum photography reveals the labour, artifice and construction in the practice of both museum and photographic representations. In contrast with anthropological photography, the 'realism' of museum photography is shown to be characterized by generic and aesthetic instability and experiment, and this is linked to the relatively marginal role of museum photographers within the public museums. Analytically, the essay proposes that semiotic approaches must be broadened beyond textual representations to include the material and social forms of different media. On this basis, despite their apparent convergence in museum photography, the essay develops an analysis of the distinctive nature of the museum and of photography as representational regimes.									4	0	0	0	0	4			1359-1835			WOS:000075080900005	
J	Laurier, E					Laurier, Eric/0000-0001-8043-0710			Replication and restoration - Ways of making maritime heritage								JOURNAL OF MATERIAL CULTURE				3	1			21	50		10.1177/135918359800300102			MAR 1998	1998	Early critiques of heritage were often elitist and treated it as a shallow entertainment for the masses based on class-biased accounts of history. Current debate around heritage pictures it as a held where multiple understandings of the past are being produced, not just popular and elitist. This article is devoted to the two social practices of replication and restoration which fabricate heritage objects and understandings of those objects. It follows and interprets the making of two boats: the Matthew, a major maritime heritage project which was related to urban development, and the Elh, a hobbyist's small scale restoration project more related to personal development. Questions are raised about materializing the past, recording materialization in narrative and the performance of masculinity in and through heritage. Based on ethnographic and documentary research this article is written in a style which reveals something of the materials and processes of its construction without that reflexive something becoming everything.									4	0	0	0	0	4			1359-1835			WOS:000075080800002	
J	Argenti, N								Masked performance: The play of self and other in ritual and theatre.								JOURNAL OF MATERIAL CULTURE				2	3			361	381		10.1177/135918359700200305			NOV 1997	1997										4	0		0	0	4			1359-1835			WOS:000073336000005	
J	Sassatelli, R								Consuming ambivalence - Eighteenth-century public discourse on consumption and Mandeville's legacy								JOURNAL OF MATERIAL CULTURE				2	3			339	360		10.1177/135918359700200304			NOV 1997	1997	Contrasting diagnoses on commercial modernity have been typically organized by a normative dichotomy between consumption and production that can be traced back to the emergence of a public discourse on commodity circulation in 18th-century Britain. Within this framework, I re-interpret Bernard Mandeville as a proto-sociologist. Mandeville may be considered as the forerunner of a position that neither refuses nor celebrates commercial modernity. He maintains that both hedonistic consumers and avaricious producers are slaves to their passions and yet conceives these passions as the sole ground on which individuals can construct themselves as subjects. The suggestion that commercial modernity fosters different forms of identity permits to consider modern consumer practices as ambivalent phenomena whereby subjects are forced to construct their own selves.					Interdisciplinary Conference on Consumption - Eating, Reading, Shopping - 18th and 19th CenturiesInterdisciplinary Conference on Consumption - Eating, Reading, Shopping - 18th and 19th Centuries	JUN, 1996JUN, 1996		UNIV WALES, ABERYSTWYTH, WALESUNIV WALES, ABERYSTWYTH, WALES	4	0	0	0	0	4			1359-1835			WOS:000073336000004	
J	Ginsburg, R								'Don't tell, dear' - The material culture of tampons and napkins								JOURNAL OF MATERIAL CULTURE				1	3			365	375		10.1177/135918359600100305			NOV 1996	1996	Feminine hygiene products challenge traditional approaches to material culture. Far from being items of conspicuous usage that might assist in the expression of identity or status, tampons and napkins rarely form part of the visual landscape. Menstrual etiquette requires that women hide the fact of their periods, both in the general and in the particular, from others, especially from men. Accordingly, they take great pains to keep hygiene products out of sightStudy of over 150 boxes of sanitary goods reveals how the design of the objects and of their packaging can be read as encouraging private, discreet consumption. Taking as my starting point the premise that what is missing from the environment is as significant as what is present, I argue that through users' efforts to comply with the apparent necessity of hiding these objects and their attempts to justify such absences, tampons and napkins participate in the ordering of their worlds. Specifically, compliance with menstrual etiquette recalls to women their status as objects, diverts their attention, and compels them to participate in the male gaze. Sanitary products' significance as material culture lies in their helping to delineate and affirm the dominant ideology of womanhood.									4	0	0	0	0	4			1359-1835			WOS:A1996WE77400005	
J	Brown, Deidre; Nicholas, George								Protecting indigenous cultural property in the age of digital democracy: Institutional and communal responses to Canadian First Nations and M(a)over-barori heritage concerns								JOURNAL OF MATERIAL CULTURE				17	3	SI		307	324		10.1177/1359183512454065			SEP 2012	2012	This article presents a comparative study of how Canadian First Nations and New Zealand M (a) over bar ori peoples have employed digital technologies in the recording, reproduction, promotion and discussion of their cultural heritage. The authors explore a selection of First Nations and M (a) over bar ori initiatives that resist or creatively respond to the digitization and electronic dissemination of cultural 'objects', knowledges and landscapes as a continuation of social processes that have dynamically endured over more than two centuries. Their comparison also considers the limitations of conventional law in regard to the protection of indigenous cultural and intellectual property. Expressions of traditional knowledge and culture generally fall outside the protection of copyrights and patents, a situation that is often exacerbated when that heritage assumes digital forms.									3	0	0	1	0	3			1359-1835			WOS:000308651500006	
J	Ngata, Wayne; Ngata-Gibson, Hera; Salmond, Amiria								Te Ataakura: Digital taonga and cultural innovation								JOURNAL OF MATERIAL CULTURE				17	3	SI		229	244		10.1177/1359183512453807			SEP 2012	2012	The Te Ataakura project is among the latest in a series of initiatives undertaken by the M (a) over bar ori tribal organization Toi Hauiti to revisit, rekindle and restore knowledge of their ancestral taonga (artefacts), many of which are now dispersed among collections throughout New Zealand and internationally. This article describes some of these earlier projects, which deployed digital technologies in innovative ways, as part of a broader strategy of artistic and economic revitalization. It outlines Toi Hauiti's continuing efforts to build relationships with holding institutions at home and abroad, and to explore possibilities offered by recent technological developments. Setting this work in the context of similar initiatives on the part of other M (a) over bar ori, with a focus on cultural revitalization and institutional collaboration, we consider the role of digitization in cultural endurance and dynamism, offering a critical view of emergent concepts including 'digital taonga' and 'virtual repatriation'.									3	0	0	0	0	3			1359-1835			WOS:000308651500002	
J	Williams, Howard								Ashes to asses: an archaeological perspective on death and donkeys								JOURNAL OF MATERIAL CULTURE				16	3			219	239		10.1177/1359183511412880			SEP 2011	2011	This article considers the Donkey Sanctuary, Sidmouth, Devon, UK, as an example of how animal rescue centres and sanctuaries have developed in the UK over the last 30 years as a new form of charity-run commemorative landscape. Human ashes are scattered in the Sanctuary grounds, memorial plaques cover the buildings of the Sanctuary, and many more are set on benches and beside memorial trees around the donkey paddocks. Through text and material culture, these memorials constitute a commemorative parity between people and animals in death, and the Donkey Sanctuary has become a complex memorial landscape. Using a sample of over 500 memorials from the Sanctuary's grounds, the article explores the use of material culture in creating an emotive and utopian 'donkey heaven' in the contemporary Devon landscape.									3	0		0	0	3			1359-1835	1460-3586		WOS:000304882700001	
J	Andrews, Hazel								Porkin' Pig goes to Magaluf								JOURNAL OF MATERIAL CULTURE				16	2			151	170		10.1177/1359183511402872			JUN 2011	2011	This article discusses the symbolic role of pigs in the Mediterranean charter-tourist resort of Magaluf, Mallorca, based on periods of participant observation. The significance of pigs has been explored in relation to other cultures, notably Papua New Guinea, but work on the animal's importance in British culture is less well documented. Taking Baudrillard's concept of a system of objects, this article links the pig to other objects of material culture and demonstrates how the pig represents aspects of touristic identity and practice and can also be seen to speak for elements of British identity.									3	0	0	0	0	3			1359-1835			WOS:000304882500003	
J	Craig, Ailsa								When a book is not a book: objects as 'players' in identity and community formation								JOURNAL OF MATERIAL CULTURE				16	1			47	63		10.1177/1359183510394943			MAR 2011	2011	This article analyzes how objects that are 'vessels of meaning' are involved in social interactions that create and maintain identity and community. Specifically, it examines the production and uses of chapbooks within poetry communities. Chapbooks are cheaply produced booklets of poetry that are distributed hand-to-hand rather than through institutionalized publication and distribution systems. The analysis draws from in-depth interviews with poets and ethnographic observation of literary events. By outlining the creation and deployment of chapbooks, a case is made for the centrality of material objects in constitutive social interactions. It is argued that material objects are both cultural products and cultural producers, not only because of their physical characteristics, but because of the ways in which they circulate.									3	0		0	0	3			1359-1835	1460-3586		WOS:000304882200003	
J	Feuchtwang, Stephan								Exhibition and awe: regimes of visibility in the presentation of an emperor								JOURNAL OF MATERIAL CULTURE				16	1			64	79		10.1177/1359183510394942			MAR 2011	2011	As a publicly funded institution, the British Museum has a mission to draw in a public that might not otherwise visit a museum. For this purpose, it puts on exhibitions such as the series on emperors, for which a special exhibition space was created under the dome of the Reading Room. The first exhibition (followed by exhibitions on Hadrian, Shah Abbas and Moctezuma) was a show of 20 terracotta figures from the complex of the Chinese First Emperor's tomb, on display between September 2007 and April 2008. The result of years of planning and diplomatic negotiations, the exhibition proved to be a blockbuster success for the British Museum. This article is a revised version of the William Fagg Lecture delivered by the author in 2007. It addresses and compares the particular regimes of vision entailed in exhibition, rather than permanent museum display, and those that are assumed to have informed the creation of the First Emperor's tomb in the 3rd century BCE - the interaction between what can and what cannot be seen, ways of making the invisible apparent and of imagining it.									3	0	0	0	0	3			1359-1835			WOS:000304882200004	
J	Hall, Mark A.								The cult of saints in medieval Perth: everyday ritual and the materiality of belief								JOURNAL OF MATERIAL CULTURE				16	1			80	104		10.1177/1359183510394944			MAR 2011	2011	This article explores everyday ritual practice in medieval Perth, particularly with respect to the cult of saints (including saints' dedications) and as evidenced by material culture. The author deliberately focuses on one site, the Perth High Street plot excavated in 1975-1977, and its rich crop of devotional and ritual objects in an attempt to understand ritual and religious practice in a particular time and place.									3	0		0	0	3			1359-1835			WOS:000304882200005	
J	Herva, Vesa-Pekka								Maps and magic in Renaissance Europe								JOURNAL OF MATERIAL CULTURE				15	3			323	343		10.1177/1359183510373979			SEP 2010	2010	Contextual and interpretive approaches have broadened perspectives on historical cartography since the 1980s, but maps still continue to be understood as a means of encoding and communicating spatial information and ideas. These established approaches to maps, however, are embedded in modernist assumptions and may misrepresent the function and meaning of maps, especially in contexts such as Renaissance Europe. This article considers the meaning of the magical associations and aspects of Renaissance maps from a relational perspective. It is argued on historical and theoretical grounds that maps engaged, and were recognized to engage, directly with the workings of the world and thus exercised causations of a magical kind. The explicit magical associations of cartography waned towards the end of the 17th century, but the magic of maps became hidden rather than lost in the process.									3	0	0	0	0	3			1359-1835			WOS:000281678800004	
J	Lau, George F.								The work of surfaces: object worlds and techniques of enhancement in the ancient Andes								JOURNAL OF MATERIAL CULTURE				15	3			259	286		10.1177/1359183510373986			SEP 2010	2010	This study is an examination of techniques in the Recuay culture (1-700 AD) of ancient Peru. In addition to identifying things that look alike, it reviews different procedures by which they were made to resemble each other. The author examines shared techniques across different media and forms, which helped to shape a general noble aesthetic. Three main points are discussed: first, the techniques share a similar emphasis on enhancing surfaces by conceiving and applying the designs in terms of their negative space or adjacent background. Second, the different technical procedures constructed the exterior worlds of chiefs, their social and physical structures, by saturating special objects and settings with surface elements related to nobility. Finally, it is suggested that the techniques distinguished Recuay value systems from those of neighbouring groups and cultures.									3	0		0	0	3			1359-1835			WOS:000281678800001	
J	Krmpotich, Cara								REMEMBERING AND REPATRIATION The Production of Kinship, Memory and Respect								JOURNAL OF MATERIAL CULTURE				15	2			157	179		10.1177/1359183510364077			JUN 2010	2010	The motivations for and outcomes of repatriation are frequently described within post-colonial processes of self-determination and self-representation. In contrast, repatriation is here considered as an expression of kinship and as a means of producing collective memory and identity. This article considers the repatriation process undertaken by the Haida First Nation to return their ancestors' remains from museum collections with a particular focus on the material culture made by Haidas to remember, respect and rebury their ancestors. Joined through shared, embodied experiences of making, using and encountering artefacts, it is argued that the repatriation process has reinforced kinship relations and identity through the production of collective memory.									3	0	0	0	0	3			1359-1835			WOS:000279766400002	
J	Santo, Diana Espirito					Espirito Santo, Diana/0000-0003-4813-7455			SPIRITIST BOUNDARY-WORK AND THE MORALITY OF MATERIALITY IN AFRO-CUBAN RELIGION								JOURNAL OF MATERIAL CULTURE				15	1			64	82		10.1177/1359183510355226			MAR 2010	2010	This article explores the significance of notions of materiality in the practice of Cuban espiritismo and in the Afro-Cuban religious cults of santer a and palo monte. In particular, it pursues an understanding of the kinds of relations that are seen to emerge between the practitioners of these cults and the spirits of the dead - relations produced through their varying interpretations and uses of 'matter', in which corresponding moral implications obtain. The author further examines the importance of 'things' and their absence through an ethnographic analysis of the radically diverging discourses on the nature of spirit mediumship among competing spiritist groups in Havana. At one end of the spectrum lies the highly syncretic practice of espiritismo cruzado ( crossed spiritism), characterized by its cosmological and ritual inclusivity, while at the other end is the doctrine-based espiritismo cientifico, where a popular concept of science places stricter limits on what can be understood as legitimately 'spiritual'.									3	0	0	0	0	3			1359-1835			WOS:000275846300003	
J	Ruiz-Ballesteros, Esteban; Maria Valcuende, Jose; Quintero, Victoria; Antonio Cortes, Jose; Rubio, Elena				Cortes Vazquez, Jose A/F-6391-2013; 	Valcuende del Rio, Jose M/0000-0003-1161-2611; Ruiz Ballesteros, Esteban/0000-0002-6270-0593			NATURALIZING THE ENVIRONMENT Perceptual Frames, Senses and Resistance								JOURNAL OF MATERIAL CULTURE				14	2			147	167		10.1177/1359183509103056			JUN 2009	2009	Following the closure of the mines and the crisis in agriculture, an alternative process of cultural and natural 'heritagization' has been taking place in certain areas of Andalusia with a marked tourist focus. Productive spaces have been transformed into post-mining and post-agrarian landscapes. The aim of this article is to analyse representations and perceptions of surroundings in these contexts through the discourse of those who have experienced these changes most acutely: farmers and miners. This interpretation invites reflection regarding the concept of nature in the western world. Nature is one of our most genuine cultural creations, but we cannot ignore that, in addition to its discursive dimension, it also has a perceptive component. Hence, the analysis carried out here seeks to gain a more in-depth understanding of the perceptive frames through which nature acquires meaning and significance. The dual perceptive and discursive dimension of nature yields a more comprehensive understanding of how landscapes become spaces for resistance and identity.									3	0	0	0	0	3			1359-1835			WOS:000266373900001	
J	Skuse, A								Enlivened objects - The social life, death and rebirth of radio as commodity in Afghanistan								JOURNAL OF MATERIAL CULTURE				10	2			123	137		10.1177/1359183505053071			JUL 2005	2005	This article examines the social maintenance of commodity exchange and use values with specific regard to radio in Afghanistan. It addresses the socio-symbolic significance of the technology, as reflected in the domestic positioning and care afforded to radio sets. Radio brands, durability, disrepair and repair are also discussed in the context of poverty, the maximization of future exchange values and the long-term extraction of maximal use values. The article addresses notions of mundane everyday object enlivenment and concludes by suggesting that the meaning invested in certain objects, in this instance radio, is characterized by a process of ongoing economic and semantic investment that serves to maintain the object as a source of information, marker of social status, modernity and symbol of global connection.									3	0	0	0	0	3			1359-1835			WOS:000230513100002	
J	Melhuish, C								Towards a phenomenology of the concrete megastructure - Space and perception at the brunswick centre, London								JOURNAL OF MATERIAL CULTURE				10	1			5	29		10.1177/13591835050092			MAR 2005	2005	The Brunswick Centre is a concrete megastructure, comprising a shopping precinct and flats, built in central London between 1968 and 1972. This article, presenting a re-reading of its spatial characteristics, is part of a larger project concerned with revealing the layers of cultural meaning invested in a building conventionally regarded as a work of abstract modernism. It sets out to develop a reinterpretation of the building through a phenomenological approach based on a multi-dimensional exploration of its design and occupation, bringing to the fore issues of perception and embodiment, or 'being-in-the-world', at individual and collective level.									3	0	0	0	0	3			1359-1835			WOS:000227729700001	
J	Royo, ALY								Embodying a site - Choreographing Prambanan								JOURNAL OF MATERIAL CULTURE				10	1			31	48		10.1177/1359183505050093			MAR 2005	2005	The article re-engages with the 9th century CE temple complex of Prambanan, in Central Java, as a performance locus, discussing the different phases of a bodily interaction with the site from the reconstitution of its dance units, retrievable from the dance reliefs of the main temple, to an exploration of the temple-dance-site connection. The author proposes that archaeology can be conceived and experienced as an embodied and performative practice: the Prambanan site has been incorporated in the archaeological process of dance movement reconstitution and its re-embodiment. This in turn has enabled a choreography of the site through an exploration of the architecture/dance relationship, mutually inscribed as a corporeality.									3	0	0	0	0	3			1359-1835			WOS:000227729700002	
J	Hauser, K								A garment in the dock; Or, how the FBI illuminated the prehistory of a pair of denim jeans								JOURNAL OF MATERIAL CULTURE				9	3			293	313		10.1177/1329183504046895			NOV 2004	2004	This article looks at research carried out at the FBI Laboratory's Special Photographic Unit in the identification of denim trousers from bank surveillance film. This research, which was published in 1998, showed that despite the ubiquity of jeans, each pair has individual identifying characteristics caused by the manufacturing process and by wear, and that these might be used as evidence in the identification of criminal suspects. What the FBI research also inadvertently illuminated was an otherwise hidden relationship between garment, maker and wearer, in an effective - if accidental reversal of commodity fetishism.									3	0	0	0	0	3			1359-1835			WOS:000225270800004	
J	Kramer, J								Figurative repatriation - First Nations 'artist-warriors' recover, reclaim, and return cultural property through self-definition								JOURNAL OF MATERIAL CULTURE				9	2			161	182		10.1177/1359183504044370			JUL 2004	2004	This article begins with an analysis of the problems of 'physical repatriation', as I review the case of the return of a First Nations mask to its community of origin. First Nations struggle to fit their concepts of ownership into western ones, where objects are viewed as alienable. As an alternative, the art of John Powell and Marianne Nicolson depicts a 'figurative repatriation' that does not rely on either the courts or museums to recognize legal or moral ownership. I argue that these contemporary artworks are social agents, which bring First Nations cultural objects home by staking out territory within museums. These 'artist warriors' forcibly recover (both literally and metaphorically) First Nations objects on display in foreign settings and reinscribe meaning at the level of the personal and the communal. They make objectified assertions of native identity that reclaim the right to self-definition. Moreover, these claims are made all the more powerful through their conscious location within an oppositional discourse framed by the Canadian western art world.					101st Annual Meeting of the American-Anthropological-Association101st Annual Meeting of the American-Anthropological-Association	NOV 20-24, 2002NOV 20-24, 2002	Amer Anthropol AssocAmer Anthropol Assoc	NEW ORLEANS, LANEW ORLEANS, LA	3	0		0	0	3			1359-1835			WOS:000222829500004	
